soc_pp_code,product_group,brand_desc,product_segment,product_payment_type
PPEP,GPPU,Telia,Consumer,Postpaid
PSEB,GBKU,Telia,Business,Postpaid
PPEH,GPPU,Telia,Consumer,Postpaid
PPER,GPPU,Telia,Consumer,Postpaid
PSEZ,GBTC,Telia,Business,Postpaid
PPEU,GPPU,Telia,Consumer,Postpaid
PANA,GPAT,Telia,Consumer,Postpaid
PSJE,GBID,Telia,Business,Postpaid
PLBR,G3CE,Chess,SP,Postpaid
PSJS,GBID,Telia,Business,Postpaid
PPEK,GPPU,Telia,Consumer,Postpaid
PLBS,G3CE,Chess,SP,Postpaid
PSJR,GBID,Telia,Business,Postpaid
PSJO,GBID,Telia,Business,Postpaid
PSEM,GBTE,Telia,Business,Postpaid
PSBI,GBID,Telia,Business,Postpaid
PVJD,G3SP,SP,SP,N/A
PSSN,GBTE,Telia,Business,Postpaid
PSEL,GBTE,Telia,Business,Postpaid
PSEI,GBTE,Telia,Business,Postpaid
PSSC,GBKU,Telia,Business,Postpaid
PVGA,G3SP,SP,SP,N/A
PLDE,G3CE,Chess,SP,Postpaid
PVJA,G3SP,SP,SP,N/A
PSEJ,GBTE,Telia,Business,Postpaid
PSJC,GBID,Telia,Business,Postpaid
PKOO,GPKO,Telia,Consumer,Prepaid
PSBG,GBID,Telia,Business,Postpaid
PKOK,GPPU,Telia,Consumer,Postpaid
PSEO,GBTE,Telia,Business,Postpaid
PPEE,GPPU,Telia,Consumer,Postpaid
PSJI,GBID,Telia,Business,Postpaid
PLDC,G3CE,Chess,SP,Postpaid
PPEI,GPPU,Telia,Consumer,Postpaid
PSTE,GBFP,Telia,Business,Postpaid
PSJF,GBID,Telia,Business,Postpaid
PSSO,GBTE,Telia,Business,Postpaid
PPEN,GPPU,Telia,Consumer,Postpaid
PSSD,GBKU,Telia,Business,Postpaid
PPUY,GPPU,Telia,Consumer,Postpaid
PPEO,GPPU,Telia,Consumer,Postpaid
PPUX,GPPU,Telia,Consumer,Postpaid
PSJB,GBID,Telia,Business,Postpaid
PSJT,GBID,Telia,Business,Postpaid
PLAC,G3CM,Chess,SP,Postpaid
PSSK,GBTE,Telia,Business,Postpaid
PLDB,G3CE,Chess,SP,Postpaid
PSJU,GBID,Telia,Business,Postpaid
PSEN,GBTE,Telia,Business,Postpaid
PSJW,GBID,Telia,Business,Postpaid
PSJD,GBID,Telia,Business,Postpaid
PSJV,GBID,Telia,Business,Postpaid
PPEM,GPPU,Telia,Consumer,Postpaid
PVHR,G3CK,Chess,SP,Prepaid
PLBU,G3CE,Chess,SP,Postpaid
PSEQ,GBTE,Telia,Business,Postpaid
PSBA,GBID,Telia,Business,Postpaid
PSNH,GPCT,Telia,Consumer,Postpaid
PPUR,GPPU,Telia,Consumer,Postpaid
PSBC,GBID,Telia,Business,Postpaid
PPEJ,GPPU,Telia,Consumer,Postpaid
PSSM,GBTE,Telia,Business,Postpaid
PLDD,G3CE,Chess,SP,Postpaid
PSJG,GBID,Telia,Business,Postpaid
PNET,GBXX,Telia,Business,Postpaid
PKOL,GPPU,Telia,Consumer,Postpaid
PSEK,GBTE,Telia,Business,Postpaid
PPEY,GPPU,Telia,Consumer,Postpaid
PVEE,G3SP,SP,SP,N/A
PSSB,GBKU,Telia,Business,Postpaid
PLBT,G3CE,Chess,SP,Postpaid
PSED,GBKU,Telia,Business,Postpaid
PSJQ,GBID,Telia,Business,Postpaid
PLDA,G3CE,Chess,SP,Postpaid
PSSL,GBTE,Telia,Business,Postpaid
PPEF,GPPU,Telia,Consumer,Postpaid
PSJP,GBID,Telia,Business,Postpaid
PPUT,GPPU,Telia,Consumer,Postpaid
PSJL,GBID,Telia,Business,Postpaid
PPUS,GPPU,Telia,Consumer,Postpaid
