subscriber_no,ban,subscriber_id,effective_date,expiration_date,soc_pp_code,rate
GSM04735453174,238316831,17188177,2018-01-24T00:00:00.000Z,2019-02-14T23:00:00.000Z,PPUT,399.0
GSM04735057300,138319723,17185435,2018-03-19T00:00:00.000Z,2018-04-07T00:00:00.000Z,PSJE,623.75
GSM04735057300,138319723,17185435,2018-01-18T00:00:00.000Z,2018-03-19T00:00:00.000Z,PSBA,625.0
GSM04735057300,138319723,17185435,2018-04-07T00:00:00.000Z,2019-02-01T00:00:00.000Z,PSJR,623.75
GSM04735057300,138319723,17185435,2019-02-01T00:00:00.000Z,2019-02-14T23:00:00.000Z,PSJS,748.75
GSM04735223116,218318237,17150717,2018-01-09T00:00:00.000Z,2019-02-14T23:00:00.000Z,PSJQ,498.75
GSM04735430116,328311587,17153925,2018-05-31T00:00:00.000Z,2019-02-14T23:00:00.000Z,PPUX,499.0
GSM04735430116,328311587,17153925,2018-01-25T00:00:00.000Z,2018-05-31T00:00:00.000Z,PPEK,449.0
GSM04735643359,638310887,17204248,2018-02-27T00:00:00.000Z,2018-06-02T00:24:37.000Z,PPUS,299.0
GSM04735643359,638310887,17204248,2018-01-25T00:00:00.000Z,2018-02-27T00:00:00.000Z,PPEF,699.0
GSM04735833084,235316597,16635421,2018-01-05T00:00:00.000Z,2018-12-13T12:34:37.000Z,PVJA,9.37
GSM04735019979,938311864,17211862,2018-01-30T00:00:00.000Z,2019-02-14T23:00:00.000Z,PPEH,299.0
GSM04735355874,622212419,17153615,2018-01-05T00:00:00.000Z,2018-02-23T12:05:38.000Z,PLDC,299.0
GSM04735605871,686318938,17185766,2018-01-17T00:00:00.000Z,2018-01-18T13:07:36.000Z,PSEM,561.25
GSM04735605871,238311588,17185766,2018-01-18T00:00:00.000Z,2018-05-12T00:12:52.000Z,PSEM,561.25
GSM04735618124,238312652,8531266,2018-01-18T00:00:00.000Z,2018-06-20T00:14:57.000Z,PPEH,299.0
GSM04735692313,338317317,17194756,2018-01-21T00:00:00.000Z,2018-08-07T00:00:00.000Z,PPEK,449.0
GSM04735692313,338317317,17194756,2018-08-07T00:00:00.000Z,2019-02-14T23:00:00.000Z,PPEH,299.0
GSM04735854869,228314149,17203027,2019-01-24T00:00:00.000Z,2019-02-14T23:00:00.000Z,PPEO,449.0
GSM04735854869,228314149,17203027,2018-01-25T00:00:00.000Z,2019-01-07T00:00:00.000Z,PPEF,699.0
GSM04735854869,228314149,17203027,2019-01-07T00:00:00.000Z,2019-01-24T00:00:00.000Z,PPEO,449.0
